"Suburb_Code","Suburb_Name","Total_15_24_yr"
"20538","Cherokee",4
"20539","Cherrypool",0
"20540","Cheshunt",13
"20541","Cheshunt South",0
"20542","Chesney Vale",9
"20543","Chetwynd",5
"20544","Chewton",123
"20545","Chewton Bushlands",0
"20546","Childers (Vic.)",13
"20547","Chillingollah",0
"20548","Chiltern",158
"20549","Chiltern Valley",9
"20550","Chinangin",0
"20551","Chinkapook",4
"20552","Chintin",7
"20553","Chirnside Park",1325
"20554","Chirrip",0
"20555","Chocolyn",11
"20556","Christmas Hills (Vic.)",47
"20557","Chum Creek",122
"20558","Churchill (Vic.)",833
"20559","Churchill Island",0
"20560","Chute",3
"20561","Clarendon (Vic.)",11
"20562","Claretown",5
"20563","Clarinda",984
"20564","Clarkefield",45
"20565","Clarkes Hill",6
"20566","Clayton",7741
"20567","Clayton South",1781
"20568","Clear Lake",10
"20569","Clematis",40
"20570","Clifton Creek",29
"20571","Clifton Hill",537
"20572","Clifton Springs",799
"20573","Clonbinane",55
"20574","Clover Flat",3
"20575","Cloverlea",30
"20576","Club Terrace",0
"20577","Clunes (Vic.)",195
"20578","Clyde (Vic.)",247
"20579","Clyde North",894
"20580","Clydebank",12
"20581","Clydesdale (Vic.)",4
"20582","Coalville",4
"20583","Cobains",20
"20584","Cobaw",3
"20585","Cobbannah",0
"20586","Cobberas",0
"20587","Cobden",208
"20588","Cobram",606
"20589","Cobram East",36
"20590","Cobrico",7
"20591","Cobungra",6
"20592","Coburg",3108
"20593","Coburg North",807
"20594","Cocamba",0
"20595","Cochranes Creek",0
"20596","Cockatoo (Vic.)",552
"20597","Cocoroc",0
"20598","Codrington (Vic.)",7
"20599","Coghills Creek",11
"20600","Cohuna",216
"20601","Coimadai",58
"20602","Cokum",0
"20603","Colac",1081
"20604","Colac Colac",7
"20605","Colac East",10
"20606","Colac West",7
"20607","Colbinabbin",30
"20608","Colbrook",0
"20609","Coldstream (Vic.)",240
"20610","Coleraine",75
"20611","Colignan",47
"20612","Collingwood (Vic.)",987
"20613","Combienbar",0
"20614","Concongella",14
"20615","Condah",19
"20616","Congupna",77
"20617","Connewarre",80
"20618","Connewirricoo",0
"20619","Coojar",4
"20620","Coolaroo",439
"20621","Cooma (Vic.)",10
"20622","Coomboona",18
"20623","Coomoora",22
"20624","Coongulla",10
"20625","Coonooer Bridge",0
"20626","Coonooer West",3
"20627","Cooriemungle",62
"20628","Cope Cope",3
"20629","Cora Lynn",27
"20630","Corack",0
"20631","Corack East",3
"20632","Coragulac",22
"20633","Coral Bank",10
"20634","Corindhap",15
"20635","Corinella (Vic.)",74
"20636","Corio",2649
"20637","Corndale (Vic.)",0
"20638","Cornella",3
"20639","Cornishtown",12
"20640","Coronet Bay",40
"20641","Corop",16
"20642","Cororooke",40
"20643","Corringle",0
"20644","Corryong",128
"20645","Corunnun",13
"20646","Cosgrove (Vic.)",10
"20647","Cosgrove South",0
"20648","Costerfield",3
"20649","Cotswold",0
"20650","Cottles Bridge",81
"20651","Cowa",0
"20652","Cowangie",6
"20653","Cowes",355
"20654","Cowleys Creek",7
"20655","Cowwarr",46
"20656","Craigie (Vic.)",5
"20657","Craigieburn",6825
"20658","Cranbourne",2696
"20659","Cranbourne East",1734
"20660","Cranbourne North",2760
"20661","Cranbourne South",272
"20662","Cranbourne West",1859
"20663","Creek Junction",0
"20664","Creightons Creek",16
"20665","Cremorne (Vic.)",197
"20666","Cressy (Vic.)",22
"20667","Creswick",290
"20668","Creswick North",4
"20669","Crib Point",352
"20670","Crookayan",0
"20671","Crooked River",0
"20672","Cross Roads (Vic.)",5
"20673","Crossley",15
"20674","Crossover",20
"20675","Crowlands",5
"20676","Croxton East",12
"20677","Croydon (Vic.)",2997
"20678","Croydon Hills",815
"20679","Croydon North",1031
"20680","Croydon South",484
"20681","Crymelon",0
"20682","Cudgee",27
"20683","Cudgewa",22
"20684","Culgoa",8
"20685","Culla",8
"20686","Cullen",5
"20687","Cullulleraine",3
"20688","Cundare",0
"20689","Cundare North",0
"20690","Curdies River",6
"20691","Curdievale",13
"20692","Curlewis (Vic.)",179
"20693","Curyo",0
"20694","Dadswells Bridge",8
"20695","Daisy Hill (Vic.)",31
"20696","Dales Creek",39
"20697","Dallas",1095
"20698","Dalmore",28
"20699","Daltons Bridge",8
"20700","Dalyenong",0
"20701","Dalyston",65
"20702","Dandenong",4344
"20703","Dandenong North",2875
"20704","Dandenong South",10
"20705","Dandongadale",0
"20706","Dargo",11
"20707","Darley",1137
"20708","Darlimurla",9
"20709","Darlington (Vic.)",9
"20710","Darnum",100
"20711","Darraweit Guim",43
"20712","Darriman",3
"20713","Dartmoor (Vic.)",26
"20714","Dartmouth",5
"20715","Dawson (Vic.)",0
"20716","Daylesford",189
"20717","Dean",16
"20718","Deans Marsh",23
"20719","Deddick Valley",0
"20720","Dederang",27
"20721","Deep Lead",19
"20722","Deepdene (Vic.)",288
"20723","Deer Park",2288
"20724","Delacombe",923
"20725","Delahey",1353
"20726","Delatite",0
"20727","Delburn",5
"20728","Delegate River",0
"20729","Denicull Creek",3
"20730","Denison",50
"20731","Dennington",255
"20732","Denver",11
"20733","Deptford",0
"20734","Derby (Vic.)",0
"20735","Dereel",56
"20736","Dergholm",3
"20737","Derrimut",875
"20738","Derrinal",0
"20739","Derrinallum",20
"20740","Devenish",13
"20741","Devils River",0
"20742","Devon Meadows",207
"20743","Devon North",27
"20744","Dewhurst",20
"20745","Dhurringile",48
"20746","Diamond Creek",1765
"20747","Digby",7
"20748","Diggers Rest",356
"20749","Diggora",14
"20750","Dimboola",164
"20751","Dingee",24
"20752","Dingley Village",1206
"20753","Dingwall",7
"20754","Dinner Plain",82
"20755","Dixie (Vic.)",18
"20756","Dixons Creek",43
"20757","Dobie",0
"20758","Docker",21
"20759","Dockers Plains",3
"20760","Docklands",2116
"20761","Doctors Flat",3
"20762","Dollar",6
"20763","Don Valley",62
"20764","Donald",146
"20765","Doncaster",2702
"20766","Doncaster East",3595
"20767","Donnybrook (Vic.)",20
"20768","Donvale",1497
"20769","Dooboobetic",3
"20770","Dooen",26
"20771","Dookie",24
"20772","Dookie College",36
"20773","Doreen",2212
"20774","Dorodong",3
"20775","Double Bridges",0
"20776","Douglas (Vic.)",5
"20777","Doveton",1274
"20778","Dreeite",8
"20779","Dreeite South",3
"20780","Driffield",13
"20781","Drik Drik",5
"20782","Dromana",523
"20783","Dropmore",0
"20784","Drouin",1348
"20785","Drouin East",24
"20786","Drouin South",33
"20787","Drouin West",43
"20788","Drumanure",3
"20789","Drumborg",22
"20790","Drumcondra",60
"20791","Drummartin",9
"20792","Drummond",19
"20793","Drummond North",15
"20794","Drung",15
"20795","Dry Diggings",0
"20796","Drysdale",440
"20797","Duchembegarra",3
"20798","Dumbalk",42
"20799","Dumbalk North",7
"20800","Dumosa",4
"20801","Dunach",4
"20802","Dundonnell",9
"20803","Dunkeld (Vic.)",48
