"Suburb_Code","Suburb_Name","Tot_15_24_FtPt"
"20806","Dunnstown",8
"20807","Dunolly (Vic.)",3
"20808","Dunrobin (Vic.)",0
"20809","Durdidwarrah",0
"20810","Durham Lead",5
"20811","Durham Ox",0
"20812","Dutson",0
"20813","Dutson Downs",0
"20814","Dutton Way",0
"20815","Duverney",0
"20816","Eagle Point",0
"20817","Eaglehawk",71
"20818","Eaglehawk North",0
"20819","Eaglemont",201
"20820","Earlston",0
"20821","East Bairnsdale",3
"20822","East Bendigo",53
"20823","East Geelong",115
"20824","East Melbourne",179
"20825","East Sale",0
"20826","East Wangaratta",0
"20827","East Warburton",4
"20828","Eastern View",0
"20829","Eastville",0
"20830","Eastwood (Vic.)",14
"20831","Ebden",0
"20832","Echuca",91
"20833","Echuca Village",0
"20834","Echuca West",4
"20835","Ecklin South",3
"20836","Eddington",0
"20837","Eden Park",26
"20838","Edenhope",12
"20839","Edgecombe",0
"20840","Edi",0
"20841","Edi Upper",0
"20842","Edithvale",126
"20843","Eganstown",3
"20844","Eildon",0
"20845","Elaine",3
"20846","Eldorado",0
"20847","Elevated Plains",0
"20848","Elingamite",0
"20849","Elingamite North",0
"20850","Elizabeth Island",0
"20851","Ellaswood",0
"20852","Ellerslie (Vic.)",3
"20853","Elliminyt",19
"20854","Ellinbank",3
"20855","Elmhurst",0
"20856","Elmore",5
"20857","Elphinstone (Vic.)",0
"20858","Elsternwick",363
"20859","Eltham (Vic.)",602
"20860","Eltham North",269
"20861","Elwood",367
"20862","Emerald (Vic.)",125
"20863","Emu",0
"20864","Emu Creek (Vic.)",7
"20865","Endeavour Hills",835
"20866","Enfield (Vic.)",3
"20867","Englefield",0
"20868","Enochs Point",0
"20869","Ensay",0
"20870","Ensay North",0
"20871","Eppalock",7
"20872","Epping (Vic.)",863
"20873","Epsom (Vic.)",38
"20874","Ercildoune",0
"20875","Erica",0
"20876","Errinundra",0
"20877","Eskdale (Vic.)",0
"20878","Esmond",0
"20879","Essendon",937
"20880","Essendon Fields",0
"20881","Essendon North",90
"20882","Essendon West",60
"20883","Eumemmerring",32
"20884","Eurack",0
"20885","Eureka (Vic.)",22
"20886","Euroa",10
"20887","Eurobin",0
"20888","Evansford",0
